chrom	start	end	coverage	sample
MN908947.3	0	200	67.16	ERR5556343
MN908947.3	200	400	298.02	ERR5556343
MN908947.3	400	600	719.93	ERR5556343
MN908947.3	600	800	469.23	ERR5556343
MN908947.3	800	1000	506.81	ERR5556343
MN908947.3	1000	1200	2084.55	ERR5556343
MN908947.3	1200	1400	1226.47	ERR5556343
MN908947.3	1400	1600	377.13	ERR5556343
MN908947.3	1600	1800	3879.87	ERR5556343
MN908947.3	1800	2000	2413.3	ERR5556343
MN908947.3	2000	2200	63.2	ERR5556343
MN908947.3	2200	2400	1128.33	ERR5556343
MN908947.3	2400	2600	1091.15	ERR5556343
MN908947.3	2600	2800	482.1	ERR5556343
MN908947.3	2800	3000	590.67	ERR5556343
MN908947.3	3000	3200	630.33	ERR5556343
MN908947.3	3200	3400	204.73	ERR5556343
MN908947.3	3400	3600	97.7	ERR5556343
MN908947.3	3600	3800	13.18	ERR5556343
MN908947.3	3800	4000	293.06	ERR5556343
MN908947.3	4000	4200	757.52	ERR5556343
MN908947.3	4200	4400	1107.63	ERR5556343
MN908947.3	4400	4600	186.75	ERR5556343
MN908947.3	4600	4800	842.84	ERR5556343
MN908947.3	4800	5000	1359.29	ERR5556343
MN908947.3	5000	5200	353.58	ERR5556343
MN908947.3	5200	5400	563.01	ERR5556343
MN908947.3	5400	5600	882.53	ERR5556343
MN908947.3	5600	5800	279.44	ERR5556343
MN908947.3	5800	6000	992.3	ERR5556343
MN908947.3	6000	6200	1776.7	ERR5556343
MN908947.3	6200	6400	839.64	ERR5556343
MN908947.3	6400	6600	1061.2	ERR5556343
MN908947.3	6600	6800	1956.69	ERR5556343
MN908947.3	6800	7000	1474.74	ERR5556343
MN908947.3	7000	7200	825.67	ERR5556343
MN908947.3	7200	7400	715.43	ERR5556343
MN908947.3	7400	7600	450.25	ERR5556343
MN908947.3	7600	7800	1386.64	ERR5556343
MN908947.3	7800	8000	1922.84	ERR5556343
MN908947.3	8000	8200	453.95	ERR5556343
MN908947.3	8200	8400	1013.31	ERR5556343
MN908947.3	8400	8600	1267.89	ERR5556343
MN908947.3	8600	8800	319.03	ERR5556343
MN908947.3	8800	9000	1306.38	ERR5556343
MN908947.3	9000	9200	3320.28	ERR5556343
MN908947.3	9200	9400	653.16	ERR5556343
MN908947.3	9400	9600	920.01	ERR5556343
MN908947.3	9600	9800	2170.34	ERR5556343
MN908947.3	9800	10000	511.65	ERR5556343
MN908947.3	10000	10200	2962.43	ERR5556343
MN908947.3	10200	10400	6683.37	ERR5556343
MN908947.3	10400	10600	1703.08	ERR5556343
MN908947.3	10600	10800	458.22	ERR5556343
MN908947.3	10800	11000	77.64	ERR5556343
MN908947.3	11000	11200	2008.53	ERR5556343
MN908947.3	11200	11400	2209.33	ERR5556343
MN908947.3	11400	11600	809.04	ERR5556343
MN908947.3	11600	11800	877.42	ERR5556343
MN908947.3	11800	12000	394.23	ERR5556343
MN908947.3	12000	12200	261.17	ERR5556343
MN908947.3	12200	12400	821.63	ERR5556343
MN908947.3	12400	12600	1379.94	ERR5556343
MN908947.3	12600	12800	1575.43	ERR5556343
MN908947.3	12800	13000	82.61	ERR5556343
MN908947.3	13000	13200	5118.43	ERR5556343
MN908947.3	13200	13400	5380.17	ERR5556343
MN908947.3	13400	13600	728.51	ERR5556343
MN908947.3	13600	13800	867.87	ERR5556343
MN908947.3	13800	14000	1032.6	ERR5556343
MN908947.3	14000	14200	1667.41	ERR5556343
MN908947.3	14200	14400	619.46	ERR5556343
MN908947.3	14400	14600	186.54	ERR5556343
MN908947.3	14600	14800	264.58	ERR5556343
MN908947.3	14800	15000	674.73	ERR5556343
MN908947.3	15000	15200	1288.92	ERR5556343
MN908947.3	15200	15400	555.73	ERR5556343
MN908947.3	15400	15600	1553.35	ERR5556343
MN908947.3	15600	15800	2869.84	ERR5556343
MN908947.3	15800	16000	984.07	ERR5556343
MN908947.3	16000	16200	523.78	ERR5556343
MN908947.3	16200	16400	1098.94	ERR5556343
MN908947.3	16400	16600	1548.17	ERR5556343
MN908947.3	16600	16800	2064.4	ERR5556343
MN908947.3	16800	17000	4249.04	ERR5556343
MN908947.3	17000	17200	2574.25	ERR5556343
MN908947.3	17200	17400	100.88	ERR5556343
MN908947.3	17400	17600	3470.73	ERR5556343
MN908947.3	17600	17800	2465.17	ERR5556343
MN908947.3	17800	18000	934.59	ERR5556343
MN908947.3	18000	18200	1776.37	ERR5556343
MN908947.3	18200	18400	979.28	ERR5556343
MN908947.3	18400	18600	205.92	ERR5556343
MN908947.3	18600	18800	8064.97	ERR5556343
MN908947.3	18800	19000	7029.4	ERR5556343
MN908947.3	19000	19200	481.04	ERR5556343
MN908947.3	19200	19400	2318.94	ERR5556343
MN908947.3	19400	19600	2698.39	ERR5556343
MN908947.3	19600	19800	1336.31	ERR5556343
MN908947.3	19800	20000	950.33	ERR5556343
MN908947.3	20000	20200	470.66	ERR5556343
MN908947.3	20200	20400	4687.38	ERR5556343
MN908947.3	20400	20600	3127.94	ERR5556343
MN908947.3	20600	20800	277.41	ERR5556343
MN908947.3	20800	21000	665.65	ERR5556343
MN908947.3	21000	21200	2547.6	ERR5556343
MN908947.3	21200	21400	5467.85	ERR5556343
MN908947.3	21400	21600	2184.71	ERR5556343
MN908947.3	21600	21800	2699.45	ERR5556343
MN908947.3	21800	22000	3447	ERR5556343
MN908947.3	22000	22200	281.5	ERR5556343
MN908947.3	22200	22400	1602.95	ERR5556343
MN908947.3	22400	22600	4141.65	ERR5556343
MN908947.3	22600	22800	3931.57	ERR5556343
MN908947.3	22800	23000	1678.04	ERR5556343
MN908947.3	23000	23200	583.58	ERR5556343
MN908947.3	23200	23400	203.08	ERR5556343
MN908947.3	23400	23600	1585.51	ERR5556343
MN908947.3	23600	23800	2426.7	ERR5556343
MN908947.3	23800	24000	401.8	ERR5556343
MN908947.3	24000	24200	922.59	ERR5556343
MN908947.3	24200	24400	1876.29	ERR5556343
MN908947.3	24400	24600	1061.56	ERR5556343
MN908947.3	24600	24800	1942.01	ERR5556343
MN908947.3	24800	25000	3976.58	ERR5556343
MN908947.3	25000	25200	860.92	ERR5556343
MN908947.3	25200	25400	4294.74	ERR5556343
MN908947.3	25400	25600	9782.85	ERR5556343
MN908947.3	25600	25800	2041.73	ERR5556343
MN908947.3	25800	26000	1615.65	ERR5556343
MN908947.3	26000	26200	4192.37	ERR5556343
MN908947.3	26200	26400	2189.88	ERR5556343
MN908947.3	26400	26600	2257.49	ERR5556343
MN908947.3	26600	26800	2592.66	ERR5556343
MN908947.3	26800	27000	3286.35	ERR5556343
MN908947.3	27000	27200	4880.28	ERR5556343
MN908947.3	27200	27400	5773.89	ERR5556343
MN908947.3	27400	27600	4372.94	ERR5556343
MN908947.3	27600	27800	2576.23	ERR5556343
MN908947.3	27800	28000	336.96	ERR5556343
MN908947.3	28000	28200	1368.63	ERR5556343
MN908947.3	28200	28400	5492.19	ERR5556343
MN908947.3	28400	28600	10593.48	ERR5556343
MN908947.3	28600	28800	7759.69	ERR5556343
MN908947.3	28800	29000	67.64	ERR5556343
MN908947.3	29000	29200	2052.37	ERR5556343
MN908947.3	29200	29400	1757.86	ERR5556343
MN908947.3	29400	29600	796.67	ERR5556343
MN908947.3	29600	29800	867.37	ERR5556343
MN908947.3	29800	29903	205.17	ERR5556343
