ID or #		Start	End	Type	Contig
==================================================
MN908947.3:1..29903		1	29903	partial	ERR5405022:55-22306,ERR5405022:22525-25951,ERR5405022:26202-29817
id-MN908947.3:1..265		1	265	partial	ERR5405022:55-265
gene-orf1ab		266	21555	complete	ERR5405022:266-21555
cds-QHD43415.1		266	13468	complete	ERR5405022:266-13468
cds-QHD43415.1		13468	21555	complete	ERR5405022:13468-21555
gene-S		21563	25384	partial	ERR5405022:21563-22306,ERR5405022:22525-25366
cds-QHD43416.1		21563	25384	partial	ERR5405022:21563-22306,ERR5405022:22525-25366
gene-ORF3a		25393	26220	partial	ERR5405022:25375-25951
cds-QHD43417.1		25393	26220	partial	ERR5405022:25375-25951
gene-E		26245	26472	complete	ERR5405022:26227-26454
cds-QHD43418.1		26245	26472	complete	ERR5405022:26227-26454
gene-M		26523	27191	complete	ERR5405022:26505-27173
cds-QHD43419.1		26523	27191	complete	ERR5405022:26505-27173
gene-ORF6		27202	27387	complete	ERR5405022:27184-27369
cds-QHD43420.1		27202	27387	complete	ERR5405022:27184-27369
gene-ORF7a		27394	27759	complete	ERR5405022:27376-27741
cds-QHD43421.1		27394	27759	complete	ERR5405022:27376-27741
gene-ORF8		27894	28259	complete	ERR5405022:27876-28241
cds-QHD43422.1		27894	28259	complete	ERR5405022:27876-28241
gene-N		28274	29533	complete	ERR5405022:28256-29515
cds-QHD43423.2		28274	29533	complete	ERR5405022:28256-29515
gene-ORF10		29558	29674	complete	ERR5405022:29540-29656
cds-QHI42199.1		29558	29674	complete	ERR5405022:29540-29656
id-MN908947.3:29675..29903		29675	29903	partial	ERR5405022:29657-29817
