chrom	start	end	region	coverage	sample
MN908947.3	30	410	nCoV-2019_1	92	ERR5556343
MN908947.3	320	726	nCoV-2019_2	669	ERR5556343
MN908947.3	642	1028	nCoV-2019_3	161	ERR5556343
MN908947.3	943	1337	nCoV-2019_4	1852	ERR5556343
MN908947.3	1242	1651	nCoV-2019_5	278	ERR5556343
MN908947.3	1573	1964	nCoV-2019_6	3355	ERR5556343
MN908947.3	1868	2269	nCoV-2019_7	56	ERR5556343
MN908947.3	2181	2592	nCoV-2019_8	1102	ERR5556343
MN908947.3	2504	2904	nCoV-2019_9	437	ERR5556343
MN908947.3	2826	3210	nCoV-2019_10	555	ERR5556343
MN908947.3	3144	3531	nCoV-2019_11	176	ERR5556343
MN908947.3	3460	3853	nCoV-2019_12	6	ERR5556343
MN908947.3	3771	4164	nCoV-2019_13	257	ERR5556343
MN908947.3	4044	4450	nCoV-2019_14	871	ERR5556343
MN908947.3	4294	4696	nCoV-2019_15	161	ERR5556343
MN908947.3	4636	5017	nCoV-2019_16	1115	ERR5556343
MN908947.3	4939	5321	nCoV-2019_17	296	ERR5556343
MN908947.3	5230	5644	nCoV-2019_18	745	ERR5556343
MN908947.3	5563	5957	nCoV-2019_19	180	ERR5556343
MN908947.3	5867	6272	nCoV-2019_20	1649	ERR5556343
MN908947.3	6167	6550	nCoV-2019_21	383	ERR5556343
MN908947.3	6466	6873	nCoV-2019_22	1587	ERR5556343
MN908947.3	6718	7117	nCoV-2019_23	1009	ERR5556343
MN908947.3	7035	7415	nCoV-2019_24	510	ERR5556343
MN908947.3	7305	7694	nCoV-2019_25	393	ERR5556343
MN908947.3	7626	8019	nCoV-2019_26	1674	ERR5556343
MN908947.3	7943	8341	nCoV-2019_27	409	ERR5556343
MN908947.3	8249	8661	nCoV-2019_28	1232	ERR5556343
MN908947.3	8595	8983	nCoV-2019_29	106	ERR5556343
MN908947.3	8888	9271	nCoV-2019_30	2798	ERR5556343
MN908947.3	9204	9585	nCoV-2019_31	25	ERR5556343
MN908947.3	9477	9858	nCoV-2019_32	1832	ERR5556343
MN908947.3	9784	10171	nCoV-2019_33	215	ERR5556343
MN908947.3	10076	10459	nCoV-2019_34	5563	ERR5556343
MN908947.3	10362	10763	nCoV-2019_35	611	ERR5556343
MN908947.3	10666	11074	nCoV-2019_36	73	ERR5556343
MN908947.3	10999	11394	nCoV-2019_37	2067	ERR5556343
MN908947.3	11306	11693	nCoV-2019_38	662	ERR5556343
MN908947.3	11555	11949	nCoV-2019_39	575	ERR5556343
MN908947.3	11863	12256	nCoV-2019_40	67	ERR5556343
MN908947.3	12110	12490	nCoV-2019_41	697	ERR5556343
MN908947.3	12417	12802	nCoV-2019_42	1440	ERR5556343
MN908947.3	12710	13096	nCoV-2019_43	71	ERR5556343
MN908947.3	13005	13400	nCoV-2019_44	5456	ERR5556343
MN908947.3	13307	13699	nCoV-2019_45	608	ERR5556343
MN908947.3	13599	13984	nCoV-2019_46	717	ERR5556343
MN908947.3	13918	14299	nCoV-2019_47	1388	ERR5556343
MN908947.3	14207	14601	nCoV-2019_48	151	ERR5556343
MN908947.3	14545	14926	nCoV-2019_49	222	ERR5556343
MN908947.3	14865	15246	nCoV-2019_50	1078	ERR5556343
MN908947.3	15171	15560	nCoV-2019_51	371	ERR5556343
MN908947.3	15481	15886	nCoV-2019_52	2674	ERR5556343
MN908947.3	15827	16209	nCoV-2019_53	226	ERR5556343
MN908947.3	16118	16510	nCoV-2019_54	966	ERR5556343
MN908947.3	16416	16833	nCoV-2019_55	1458	ERR5556343
MN908947.3	16748	17152	nCoV-2019_56	3888	ERR5556343
MN908947.3	17065	17452	nCoV-2019_57	87	ERR5556343
MN908947.3	17381	17761	nCoV-2019_58	2961	ERR5556343
MN908947.3	17674	18062	nCoV-2019_59	768	ERR5556343
MN908947.3	17966	18348	nCoV-2019_60	1377	ERR5556343
MN908947.3	18253	18672	nCoV-2019_61	205	ERR5556343
MN908947.3	18596	18979	nCoV-2019_62	7872	ERR5556343
MN908947.3	18896	19297	nCoV-2019_63	441	ERR5556343
MN908947.3	19204	19616	nCoV-2019_64	2564	ERR5556343
MN908947.3	19548	19939	nCoV-2019_65	1168	ERR5556343
MN908947.3	19844	20255	nCoV-2019_66	451	ERR5556343
