# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_missense_variant	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
E	gene-E	TRANSCRIPT_gene-E	protein_coding	0	0	1	20	0	0	9	1	0	0	11
M	gene-M	TRANSCRIPT_gene-M	protein_coding	0	0	1	20	0	0	8	1	0	0	12
N	gene-N	TRANSCRIPT_gene-N	protein_coding	0	1	3	10	0	1	2	2	0	1	8
ORF10	gene-ORF10	TRANSCRIPT_gene-ORF10	protein_coding	0	0	0	11	0	0	1	0	0	0	10
ORF3a	gene-ORF3a	TRANSCRIPT_gene-ORF3a	protein_coding	0	0	0	22	0	0	10	0	0	0	12
ORF6	gene-ORF6	TRANSCRIPT_gene-ORF6	protein_coding	0	0	1	16	1	0	7	0	0	0	9
ORF7a	gene-ORF7a	TRANSCRIPT_gene-ORF7a	protein_coding	0	0	0	17	0	0	7	0	0	0	10
ORF8	gene-ORF8	TRANSCRIPT_gene-ORF8	protein_coding	0	0	1	15	0	0	6	1	0	0	9
S	gene-S	TRANSCRIPT_gene-S	protein_coding	0	3	8	13	0	2	10	6	0	3	3
orf1ab	gene-orf1ab	TRANSCRIPT_gene-orf1ab	protein_coding	1	7	3	13	1	0	12	2	1	7	1
